Date,PRECP,TMAX,TMIN,TMEAN,DISCH (CUM),SEDM
12-Oct-89,0,27.91,11.92,19.915,1228.951,16200
13-Oct-89,0.08,29.98,13.2,21.59,1036.396,11700
14-Oct-89,0,30.14,11.65,20.895,1127.01,11300
15-Oct-89,0.34,29.04,15.07,22.055,1158.158,11800
16-Oct-89,10.22,24.1,10.51,17.305,1115.683,20100
17-Oct-89,2.57,14.74,3.63,9.185,954.277,24900
18-Oct-89,0.14,7.39,2.52,4.955,1025.069,27700
19-Oct-89,0.12,4.46,1.37,2.915,883.485,29600
20-Oct-89,0,11.41,-1.2,5.105,959.941,41100
21-Oct-89,0,19.99,0.26,10.125,968.436,42400
22-Oct-89,0,20.53,3.79,12.16,1095.861,42200
23-Oct-89,0.13,25.7,11.29,18.495,1110.02,28800
24-Oct-89,0.34,25.59,13.65,19.62,1047.723,7730
25-Oct-89,1.64,25.69,13.33,19.51,1042.059,31500
26-Oct-89,0,24.61,8.93,16.77,1050.554,36000
27-Oct-89,0,24.33,9.13,16.73,1025.069,33400
28-Oct-89,0.07,22.46,9.79,16.125,1030.733,32100
29-Oct-89,0.15,25.1,11,18.05,1019.406,28300
30-Oct-89,5.72,17.29,5.7,11.495,971.267,24400
31-Oct-89,0.03,11.76,1.99,6.875,784.376,23200
1-Nov-89,0,16.43,0.55,8.49,923.129,9120
2-Nov-89,0,6.96,-0.93,3.015,821.188,19700
3-Nov-89,0,10.93,-3.31,3.81,1002.416,41200
4-Nov-89,0.02,17.98,2.79,10.385,1008.079,38800
5-Nov-89,0.25,22.26,7.23,14.745,934.455,41600
6-Nov-89,0.7,16.14,1.4,8.77,979.762,16300
7-Nov-89,2.2,17.44,7.19,12.315,897.644,7410
8-Nov-89,1.77,16.17,1.94,9.055,869.327,9520
9-Nov-89,0.01,15.03,-0.56,7.235,829.683,9960
10-Nov-89,0.04,12.44,0.09,6.265,872.158,14200
11-Nov-89,0.01,21.9,3.68,12.79,951.446,37300
12-Nov-89,0,19.01,2.07,10.54,1025.069,44600
13-Nov-89,1.49,24.99,9.03,17.01,1008.079,32900
14-Nov-89,8.5,22.91,13.31,18.11,1044.891,6330
15-Nov-89,4.63,13.99,1.91,7.95,773.05,1560
16-Nov-89,0.05,1.29,-7.02,-2.865,792.871,2670
17-Nov-89,0,8.64,-7.11,0.765,863.663,3320
18-Nov-89,0.01,3.72,-6.9,-1.59,1044.891,3020
19-Nov-89,0.15,14.98,-2.24,6.37,988.257,2090
20-Nov-89,0,18.36,2.24,10.3,863.663,2080
21-Nov-89,0,6.51,-2.66,1.925,993.921,4690
22-Nov-89,0.08,5.01,-4.83,0.09,951.446,1470
23-Nov-89,0,4.21,-6.53,-1.16,906.139,785
24-Nov-89,0,11.48,-3.93,3.775,1144,1100
25-Nov-89,0.14,14.02,1.67,7.845,1053.386,1120
26-Nov-89,0,13.65,0.51,7.08,1061.881,1230
27-Nov-89,0.08,21.37,3.88,12.625,1019.406,1870
28-Nov-89,0.01,3.33,-6.42,-1.545,801.366,2010
29-Nov-89,0,3.3,-7.8,-2.25,911.802,4480
30-Nov-89,0,8.7,-4.23,2.235,923.129,4900
1-Dec-89,0,12.04,-3.38,4.33,957.109,4150
2-Dec-89,0,3.58,-6.78,-1.6,727.743,1970
3-Dec-89,0,0.01,-8.44,-4.215,778.713,2030
4-Dec-89,0,8.8,-3.42,2.69,945.782,18400
5-Dec-89,0.39,10.73,-0.52,5.105,985.426,6280
6-Dec-89,1.06,6.22,-6.01,0.105,849.505,1230
7-Dec-89,0.16,-2.84,-6.24,-4.54,903.307,1920
8-Dec-89,0.04,0.61,-5.1,-2.245,999.584,2120
9-Dec-89,0.01,6.78,-6.81,-0.015,1098.693,2230
10-Dec-89,0.12,6.44,-2.49,1.975,1084.535,3140
11-Dec-89,0.03,-1.17,-10.11,-5.64,863.663,2090
12-Dec-89,0.02,-6.22,-15.4,-10.81,940.119,1730
13-Dec-89,1,1.05,-10.36,-4.655,940.119,1780
