Date ,PRECTOTCORR,T2M_MAX,T2M_MIN
1-Jan-1989,0.09,2.37,-5.49
2-Jan-1989,0.03,0.36,-5.46
3-Jan-1989,0.98,4.39,-5.12
4-Jan-1989,4.64,2.81,-8.03
5-Jan-1989,17.29,3.39,-2.76
6-Jan-1989,0.72,3.1,-0.26
7-Jan-1989,1.12,15.86,-6
8-Jan-1989,0,-1.42,-7.81
9-Jan-1989,0,3.01,-8.28
10-Jan-1989,0,7.01,-4.84
11-Jan-1989,0.26,5.41,-1.2
12-Jan-1989,0.09,3.25,-3.95
13-Jan-1989,0.04,4.5,-4.52
14-Jan-1989,1.69,3.9,-4.05
15-Jan-1989,0,5.17,-3.48
16-Jan-1989,0,7.77,-4.6
17-Jan-1989,0.01,9.99,-2.02
18-Jan-1989,0,10.97,-1.99
19-Jan-1989,0,14.01,-2.2
20-Jan-1989,0,3.29,-5.19
21-Jan-1989,0,5.16,-5.6
22-Jan-1989,0,10.42,-3.52
23-Jan-1989,0.87,5.91,-2.16
24-Jan-1989,2.44,10.78,1.7
25-Jan-1989,11.65,15.76,6.71
26-Jan-1989,1.59,6.01,-3.52
27-Jan-1989,0,10.28,-4.31
28-Jan-1989,1.22,11.86,-2.83
29-Jan-1989,1.61,10.12,2.54
30-Jan-1989,0,11.68,-0.33
31-Jan-1989,0.01,19.01,2.35
1-Feb-1989,2.75,9.07,-0.16
2-Feb-1989,3.12,0.06,-3.43
3-Feb-1989,2.7,-3.87,-12.25
4-Feb-1989,1.88,-11.45,-14.95
5-Feb-1989,2.9,-10.5,-15.31
6-Feb-1989,1.41,-8.45,-14.06
7-Feb-1989,0.03,-2.14,-13.6
8-Feb-1989,0,-5.03,-15.89
9-Feb-1989,0.73,-4.24,-18.72
10-Feb-1989,0.01,1.3,-12.98
11-Feb-1989,0.01,1.86,-6.57
12-Feb-1989,2.9,2.75,-9.15
13-Feb-1989,3.31,3.56,-1.09
14-Feb-1989,2.15,3.25,-3.38
15-Feb-1989,4.85,2.16,-3.6
16-Feb-1989,0,1.56,-5.95
17-Feb-1989,0.04,1.5,-6.23
18-Feb-1989,0.09,3.57,-9.13
19-Feb-1989,1.9,3.63,-4.45
20-Feb-1989,7.4,2.71,-0.55
21-Feb-1989,0.36,2.25,-3.25
22-Feb-1989,0.01,-4.29,-11.7
23-Feb-1989,0,-3.99,-16.99
24-Feb-1989,0,2.4,-13.71
25-Feb-1989,0,9.4,-6.55
26-Feb-1989,0.19,4.58,-3.09
27-Feb-1989,0.01,2.58,-5.38
28-Feb-1989,0,3.79,-3.86
1-Mar-1989,0,2.42,-5.74
2-Mar-1989,0.03,7.83,-3.35
3-Mar-1989,2.7,12.15,-0.17
4-Mar-1989,0.59,7.55,-4.32
5-Mar-1989,10.89,-1.81,-4.79
6-Mar-1989,9.43,0.01,-10.05
7-Mar-1989,0,-0.07,-11.81
8-Mar-1989,0.02,1.69,-10.1
9-Mar-1989,0.06,6.32,-5.72
10-Mar-1989,0,15.76,-1.68
11-Mar-1989,0,19.52,3.07
12-Mar-1989,0.62,8.26,2.26
13-Mar-1989,0.55,15.16,3.51
14-Mar-1989,0.01,23.01,2.55
15-Mar-1989,0,7.07,-4.2
16-Mar-1989,0.16,15.47,-4.77
17-Mar-1989,1.54,23.01,0.32
18-Mar-1989,2.33,4.65,-5.32
19-Mar-1989,10.38,6.04,-6.02
20-Mar-1989,27.6,7.68,-1.68
21-Mar-1989,0,5.22,-4.72
22-Mar-1989,0.02,9.45,-4.99
23-Mar-1989,0,14.73,-3.3
24-Mar-1989,0,19.9,3.39
25-Mar-1989,0.02,21.08,6.05
26-Mar-1989,0.3,22.71,10.58
27-Mar-1989,5.69,24.12,13.88
28-Mar-1989,2.49,24.56,15.88
29-Mar-1989,4.67,17.11,9.71
30-Mar-1989,5.83,12.46,4.01
31-Mar-1989,0.75,10.39,0.94
1-Apr-1989,1.54,15.98,-1.46
2-Apr-1989,27.86,14.78,6.73
3-Apr-1989,9.13,19.82,5.95
4-Apr-1989,0.04,14.09,4.44
5-Apr-1989,0.58,12.83,2.35
6-Apr-1989,1.68,12.38,1.55
7-Apr-1989,2.88,12.53,-1.68
8-Apr-1989,0.16,9.82,-2.02
9-Apr-1989,0,9,-4.92
10-Apr-1989,0,7.01,-5.37
11-Apr-1989,0,11.55,-4.11
12-Apr-1989,0,14.52,1.22
13-Apr-1989,0,15.66,-1.45
14-Apr-1989,2.85,18.5,3.59
15-Apr-1989,0.05,17.37,2.93
16-Apr-1989,0.18,22.75,5.86
17-Apr-1989,1.09,21.8,10.37
18-Apr-1989,1.24,16.08,5.97
19-Apr-1989,0,17.69,2.55
20-Apr-1989,0.01,18.84,4.04
21-Apr-1989,0.05,25.5,6.3
22-Apr-1989,0.08,25.69,11.44
23-Apr-1989,0.44,23.62,14.76
24-Apr-1989,0.05,29.01,13.72
25-Apr-1989,0.16,28.48,19.22
26-Apr-1989,1.65,29.58,18.33
27-Apr-1989,1.51,27.87,18.52
28-Apr-1989,6.27,26.25,17.65
29-Apr-1989,1.18,20.6,8.6
30-Apr-1989,0.22,18.46,5.2
1-May-1989,0.49,18.32,4.44
2-May-1989,0.8,16.62,2.43
3-May-1989,1.19,18.53,4.55
