Date,PRECP,TMEAN,TMAX,DISCH,SEDM
10/19/1989,-0.422,-0.826,-1.83,-28.317,60
10/20/1989,-0.462,-0.723,-0.854,25.4852,3260
10/21/1989,-0.446,0.42,0.83,9.0614,3600
10/22/1989,-0.514,0.595,1.158,28.3168,3460
10/23/1989,-0.002,2.708,3.662,16.9902,220
10/26/1989,-0.326,2.568,4.032,47.006,740
10/27/1989,-0.302,2.122,2.586,26.6178,-2080
10/28/1989,-0.288,0.997,0.496,26.0516,-2600
10/29/1989,-0.272,0.975,0.916,-1.6988,-3320
11/4/1989,-0.294,1.023,1.292,-3.398,-1120
11/5/1989,0.08,2.443,2.364,-19.8218,-1460
11/7/1989,0.38,3.16,2.68,-31.1484,-2718
11/8/1989,0.28,2.629,2.8,-37.9446,-2036
11/9/1989,-0.088,1.88,2.044,-43.608,-1188
11/10/1989,-0.086,0.371,0.116,-36.2456,140
11/12/1989,-0.134,-0.951,-1.318,-6.7962,1040
11/13/1989,-0.136,-0.366,-0.382,6.2294,478
11/17/1989,-0.06,1.012,1.342,26.0512,186
11/18/1989,0.294,0.905,0.586,70.2256,38
11/20/1989,0.258,1.885,1.78,36.8118,-812
11/22/1989,0.276,1.968,2.058,13.5922,-2916
11/23/1989,-0.038,0.424,0.702,7.9288,-713
11/24/1989,-0.028,0.685,0.686,41.3426,-780
11/25/1989,-0.002,1.97,2.178,-13.0258,-716
11/26/1989,-1.11E-17,1.031,1.428,13.592,-692
11/27/1989,-1.11E-17,2.507,3.272,13.592,80
11/29/1989,0.014,2.616,3.426,44.7406,711
11/30/1989,0.014,2.526,3.052,-0.5662,732
12/1/1989,-0.014,2.131,3.212,24.3526,578
12/2/1989,0.014,1.098,1.594,-23.2196,120
12/3/1989,-0.002,-0.534,-0.664,-4.5306,4
12/5/1989,0.078,0.09,-0.272,-18.689,-2914
12/6/1989,0.212,-1.807,-2.254,-48.1386,-4008
12/7/1989,0.032,-3.155,-4.734,-44.1742,-3720
12/8/1989,0.008,-1.51,-2.352,20.9544,-3244
12/9/1989,0.002,-0.541,-0.404,30.5822,-3234
12/10/1989,-0.054,-0.626,-0.858,19.8218,-628
12/12/1989,-0.19,-0.66,-0.966,62.2972,310
12/13/1989,0.186,1.5,2.3,51.5368,182
12/16/1989,0.068,1.22,1.914,43.6082,158
12/17/1989,0.104,1.498,1.436,12.4596,162
12/18/1989,0.488,1.106,1.236,3.9644,0
12/19/1989,0.064,2.231,2.452,-16.9902,82
12/20/1989,-0.126,1.121,1.12,-5.6634,64
12/22/1989,0.016,0.386,0.06,0,66
12/23/1989,-0.014,0.044,-0.268,28.3168,66
12/26/1989,-0.026,-0.786,-1.236,35.1128,48
12/27/1989,0.058,0.598,-0.022,45.307,56
12/28/1989,0.06,1.107,0.452,40.7762,68
12/31/1989,-0.006,1.22,0.662,11.893,46
1/1/1990,-0.036,0.526,-0.016,-3.398,20
1/2/1990,-0.406,2.121,2.542,24.3526,26
1/5/1990,-0.08,0.384,0.856,66.2614,38
